
0 Train acc: 31.938 | Train Loss: 712.1549235582352 || Teste acc: 41.69 | Teste Loss: 161.39945435523987
1 Train acc: 48.852 | Train Loss: 541.9346013069153 || Teste acc: 53.32 | Teste Loss: 133.90484988689423
2 Train acc: 60.604 | Train Loss: 431.29452019929886 || Teste acc: 62.45 | Teste Loss: 107.00890552997589
3 Train acc: 67.496 | Train Loss: 360.6596772670746 || Teste acc: 65.78 | Teste Loss: 100.17022603750229
4 Train acc: 72.22 | Train Loss: 312.47112250328064 || Teste acc: 63.85 | Teste Loss: 109.26930397748947
5 Train acc: 75.572 | Train Loss: 277.7272713780403 || Teste acc: 65.2 | Teste Loss: 112.11225116252899
6 Train acc: 76.932 | Train Loss: 260.870962113142 || Teste acc: 68.07 | Teste Loss: 99.88024169206619
7 Train acc: 78.394 | Train Loss: 247.30579882860184 || Teste acc: 72.26 | Teste Loss: 82.0361977815628
8 Train acc: 78.928 | Train Loss: 240.44609719514847 || Teste acc: 75.41 | Teste Loss: 71.48113709688187
9 Train acc: 79.37 | Train Loss: 233.59121999144554 || Teste acc: 76.98 | Teste Loss: 70.11158934235573
10 Train acc: 80.11 | Train Loss: 228.13434973359108 || Teste acc: 74.58 | Teste Loss: 76.36075043678284
11 Train acc: 80.812 | Train Loss: 220.11159005761147 || Teste acc: 73.5 | Teste Loss: 81.4739481806755
12 Train acc: 80.816 | Train Loss: 218.03219816088676 || Teste acc: 76.19 | Teste Loss: 70.04660642147064
13 Train acc: 81.176 | Train Loss: 214.6245728135109 || Teste acc: 76.39 | Teste Loss: 69.3396110534668
14 Train acc: 81.75 | Train Loss: 210.42082160711288 || Teste acc: 75.98 | Teste Loss: 73.17194765806198
15 Train acc: 82.022 | Train Loss: 205.58876559138298 || Teste acc: 69.64 | Teste Loss: 93.85898631811142
16 Train acc: 82.036 | Train Loss: 207.74061805009842 || Teste acc: 77.78 | Teste Loss: 66.28223633766174
17 Train acc: 82.302 | Train Loss: 202.70918561518192 || Teste acc: 78.97 | Teste Loss: 63.789497047662735
18 Train acc: 82.588 | Train Loss: 200.0324640572071 || Teste acc: 74.96 | Teste Loss: 79.05139708518982
19 Train acc: 82.476 | Train Loss: 199.40567737817764 || Teste acc: 77.13 | Teste Loss: 67.3976614177227
20 Train acc: 83.06 | Train Loss: 196.5010263323784 || Teste acc: 55.2 | Teste Loss: 211.0589599609375
21 Train acc: 83.014 | Train Loss: 194.57232508063316 || Teste acc: 77.56 | Teste Loss: 67.39045089483261
22 Train acc: 83.616 | Train Loss: 189.51269102096558 || Teste acc: 78.04 | Teste Loss: 65.79956564307213
23 Train acc: 83.642 | Train Loss: 189.33599603176117 || Teste acc: 77.94 | Teste Loss: 64.47065544128418
24 Train acc: 83.776 | Train Loss: 187.858388453722 || Teste acc: 75.28 | Teste Loss: 74.52435472607613
25 Train acc: 83.898 | Train Loss: 185.66973446309566 || Teste acc: 75.81 | Teste Loss: 73.94656613469124
26 Train acc: 84.078 | Train Loss: 183.38869124650955 || Teste acc: 80.05 | Teste Loss: 61.109411150217056
27 Train acc: 84.386 | Train Loss: 180.59399315714836 || Teste acc: 78.92 | Teste Loss: 61.329746544361115
28 Train acc: 84.582 | Train Loss: 177.1398043334484 || Teste acc: 79.88 | Teste Loss: 59.98842668533325
29 Train acc: 84.546 | Train Loss: 178.19139379262924 || Teste acc: 82.19 | Teste Loss: 55.62161150574684
30 Train acc: 84.628 | Train Loss: 176.90882727503777 || Teste acc: 81.34 | Teste Loss: 56.86640936136246
31 Train acc: 84.986 | Train Loss: 171.8688418418169 || Teste acc: 81.96 | Teste Loss: 52.8018501996994
32 Train acc: 84.808 | Train Loss: 173.32617385685444 || Teste acc: 76.88 | Teste Loss: 72.26503086090088
33 Train acc: 85.488 | Train Loss: 166.9564075767994 || Teste acc: 84.09 | Teste Loss: 47.21750897169113
34 Train acc: 85.6 | Train Loss: 167.21793772280216 || Teste acc: 82.69 | Teste Loss: 51.27415680885315
35 Train acc: 85.688 | Train Loss: 165.70364555716515 || Teste acc: 80.84 | Teste Loss: 55.23040199279785
36 Train acc: 85.87 | Train Loss: 162.50174656510353 || Teste acc: 77.12 | Teste Loss: 69.9522008895874
37 Train acc: 85.886 | Train Loss: 160.86573660373688 || Teste acc: 71.14 | Teste Loss: 91.7177763581276
38 Train acc: 86.386 | Train Loss: 157.88719999790192 || Teste acc: 77.7 | Teste Loss: 67.48729661107063
39 Train acc: 86.264 | Train Loss: 157.39536844193935 || Teste acc: 77.01 | Teste Loss: 72.23281994462013
40 Train acc: 86.628 | Train Loss: 152.6146625429392 || Teste acc: 81.98 | Teste Loss: 55.63757282495499
41 Train acc: 87.032 | Train Loss: 150.384458437562 || Teste acc: 82.34 | Teste Loss: 52.797975182533264
42 Train acc: 86.956 | Train Loss: 150.0622941851616 || Teste acc: 81.82 | Teste Loss: 57.1678823530674
43 Train acc: 87.202 | Train Loss: 147.8551083803177 || Teste acc: 83.36 | Teste Loss: 50.84085088968277
