
0 Train acc: 36.052 | Train Loss: 673.3574109077454 || Teste acc: 45.39 | Teste Loss: 144.99629533290863
1 Train acc: 54.412 | Train Loss: 490.42809867858887 || Teste acc: 58.5 | Teste Loss: 116.27642893791199
2 Train acc: 63.946 | Train Loss: 393.4607954621315 || Teste acc: 60.24 | Teste Loss: 114.69972676038742
3 Train acc: 70.316 | Train Loss: 330.9473795890808 || Teste acc: 69.31 | Teste Loss: 90.67203664779663
4 Train acc: 74.554 | Train Loss: 286.5965074598789 || Teste acc: 60.92 | Teste Loss: 120.92249804735184
5 Train acc: 76.252 | Train Loss: 267.6115303635597 || Teste acc: 72.37 | Teste Loss: 81.54230064153671
6 Train acc: 77.752 | Train Loss: 252.71283376216888 || Teste acc: 70.3 | Teste Loss: 91.34479731321335
7 Train acc: 78.902 | Train Loss: 242.55105543136597 || Teste acc: 71.18 | Teste Loss: 87.52077448368073
8 Train acc: 79.274 | Train Loss: 236.0114861726761 || Teste acc: 70.3 | Teste Loss: 88.68251878023148
9 Train acc: 80.348 | Train Loss: 227.21679213643074 || Teste acc: 75.71 | Teste Loss: 73.46296468377113
10 Train acc: 80.642 | Train Loss: 222.82580849528313 || Teste acc: 71.04 | Teste Loss: 85.86736541986465
11 Train acc: 80.778 | Train Loss: 220.26931437849998 || Teste acc: 72.97 | Teste Loss: 85.64445352554321
12 Train acc: 81.238 | Train Loss: 213.95740708708763 || Teste acc: 75.76 | Teste Loss: 74.30267682671547
13 Train acc: 81.504 | Train Loss: 213.24714121222496 || Teste acc: 78.84 | Teste Loss: 63.647778034210205
14 Train acc: 81.808 | Train Loss: 210.07686135172844 || Teste acc: 69.98 | Teste Loss: 94.49090254306793
15 Train acc: 81.974 | Train Loss: 206.72415816783905 || Teste acc: 77.61 | Teste Loss: 66.28482764959335
16 Train acc: 82.23 | Train Loss: 202.88314214348793 || Teste acc: 74.15 | Teste Loss: 79.6893430352211
17 Train acc: 82.64 | Train Loss: 199.54356357455254 || Teste acc: 67.49 | Teste Loss: 102.25940650701523
18 Train acc: 82.798 | Train Loss: 198.22551012039185 || Teste acc: 74.38 | Teste Loss: 79.09363988041878
19 Train acc: 83.058 | Train Loss: 196.89036363363266 || Teste acc: 77.65 | Teste Loss: 66.6078850030899
