
0 Train acc: 38.118 | Train Loss: 650.0697122812271 || Teste acc: 47.29 | Teste Loss: 145.8384073972702
1 Train acc: 55.37 | Train Loss: 480.9495575428009 || Teste acc: 49.48 | Teste Loss: 156.19056391716003
2 Train acc: 65.1 | Train Loss: 385.46202087402344 || Teste acc: 64.97 | Teste Loss: 104.74542570114136
3 Train acc: 70.39 | Train Loss: 330.51668006181717 || Teste acc: 61.96 | Teste Loss: 121.17489039897919
4 Train acc: 74.278 | Train Loss: 289.76555716991425 || Teste acc: 64.45 | Teste Loss: 111.63567864894867
5 Train acc: 76.356 | Train Loss: 269.08832010626793 || Teste acc: 72.95 | Teste Loss: 80.10623168945312
6 Train acc: 77.71 | Train Loss: 254.72913056612015 || Teste acc: 73.76 | Teste Loss: 79.26518654823303
7 Train acc: 78.72 | Train Loss: 243.775615721941 || Teste acc: 70.48 | Teste Loss: 85.5450154542923
8 Train acc: 79.94 | Train Loss: 231.04413583874702 || Teste acc: 57.82 | Teste Loss: 164.15074336528778
9 Train acc: 80.154 | Train Loss: 227.5587573349476 || Teste acc: 76.51 | Teste Loss: 68.97168931365013
10 Train acc: 80.756 | Train Loss: 219.97078123688698 || Teste acc: 75.68 | Teste Loss: 71.64652556180954
11 Train acc: 80.986 | Train Loss: 218.91406252980232 || Teste acc: 74.46 | Teste Loss: 76.18984657526016
12 Train acc: 81.314 | Train Loss: 213.13913121819496 || Teste acc: 75.5 | Teste Loss: 71.70369926095009
13 Train acc: 81.43 | Train Loss: 212.4144139289856 || Teste acc: 57.0 | Teste Loss: 173.5040979385376
14 Train acc: 82.028 | Train Loss: 206.51136258244514 || Teste acc: 71.99 | Teste Loss: 86.96565735340118
15 Train acc: 82.096 | Train Loss: 205.29132145643234 || Teste acc: 71.88 | Teste Loss: 86.38439226150513
16 Train acc: 82.596 | Train Loss: 202.0818713903427 || Teste acc: 76.45 | Teste Loss: 68.78657901287079
17 Train acc: 82.766 | Train Loss: 199.21692743897438 || Teste acc: 77.15 | Teste Loss: 69.3856150507927
18 Train acc: 82.88 | Train Loss: 198.19456306099892 || Teste acc: 64.72 | Teste Loss: 112.12049078941345
19 Train acc: 82.876 | Train Loss: 195.84822714328766 || Teste acc: 81.3 | Teste Loss: 58.48093616962433
20 Train acc: 83.34 | Train Loss: 191.5586994588375 || Teste acc: 81.01 | Teste Loss: 57.33742034435272
21 Train acc: 83.538 | Train Loss: 191.41890394687653 || Teste acc: 78.33 | Teste Loss: 64.11071893572807
22 Train acc: 83.676 | Train Loss: 187.78917768597603 || Teste acc: 76.04 | Teste Loss: 75.78770077228546
23 Train acc: 83.712 | Train Loss: 183.98608504235744 || Teste acc: 70.78 | Teste Loss: 97.75456297397614
24 Train acc: 84.258 | Train Loss: 182.8265296816826 || Teste acc: 75.15 | Teste Loss: 75.37533366680145
25 Train acc: 84.186 | Train Loss: 181.23956063389778 || Teste acc: 81.1 | Teste Loss: 57.69695118069649
26 Train acc: 84.442 | Train Loss: 180.10898739099503 || Teste acc: 74.28 | Teste Loss: 79.8295393884182
27 Train acc: 84.564 | Train Loss: 177.99482761323452 || Teste acc: 81.21 | Teste Loss: 56.157829731702805
28 Train acc: 84.67 | Train Loss: 176.97429898381233 || Teste acc: 77.34 | Teste Loss: 68.59192988276482
29 Train acc: 84.722 | Train Loss: 174.9904357343912 || Teste acc: 79.66 | Teste Loss: 60.443252861499786
30 Train acc: 84.942 | Train Loss: 172.77208319306374 || Teste acc: 80.28 | Teste Loss: 58.10273298621178
31 Train acc: 85.16 | Train Loss: 170.14596131443977 || Teste acc: 75.38 | Teste Loss: 72.28987169265747
32 Train acc: 85.406 | Train Loss: 168.42151287198067 || Teste acc: 82.06 | Teste Loss: 53.80520614981651
33 Train acc: 85.716 | Train Loss: 165.25866243243217 || Teste acc: 78.72 | Teste Loss: 65.365205347538
34 Train acc: 85.706 | Train Loss: 165.4477371275425 || Teste acc: 82.35 | Teste Loss: 52.551290929317474
35 Train acc: 85.802 | Train Loss: 164.7560024112463 || Teste acc: 73.74 | Teste Loss: 81.95891845226288
36 Train acc: 86.208 | Train Loss: 160.37884685397148 || Teste acc: 72.2 | Teste Loss: 90.95462107658386
37 Train acc: 85.994 | Train Loss: 161.32051518559456 || Teste acc: 81.05 | Teste Loss: 57.35482022166252
38 Train acc: 86.388 | Train Loss: 157.1314168870449 || Teste acc: 81.15 | Teste Loss: 55.122822254896164
39 Train acc: 86.574 | Train Loss: 155.19219908118248 || Teste acc: 80.75 | Teste Loss: 59.38566419482231
40 Train acc: 86.644 | Train Loss: 154.81238667666912 || Teste acc: 72.45 | Teste Loss: 90.09320509433746
41 Train acc: 87.054 | Train Loss: 148.76440370082855 || Teste acc: 82.92 | Teste Loss: 49.91000559926033
42 Train acc: 86.938 | Train Loss: 150.75748404860497 || Teste acc: 73.51 | Teste Loss: 84.94222688674927
43 Train acc: 87.452 | Train Loss: 145.20303098857403 || Teste acc: 81.98 | Teste Loss: 54.8432879447937
44 Train acc: 87.842 | Train Loss: 142.30389766395092 || Teste acc: 81.84 | Teste Loss: 54.81804823875427
45 Train acc: 87.728 | Train Loss: 142.17068928480148 || Teste acc: 82.34 | Teste Loss: 53.395873978734016
46 Train acc: 87.814 | Train Loss: 139.71687564253807 || Teste acc: 81.88 | Teste Loss: 53.66398233175278
47 Train acc: 88.118 | Train Loss: 136.42949867248535 || Teste acc: 82.22 | Teste Loss: 54.035931915044785
48 Train acc: 88.202 | Train Loss: 136.48237797617912 || Teste acc: 83.06 | Teste Loss: 51.067974627017975
49 Train acc: 88.63 | Train Loss: 131.86188173294067 || Teste acc: 84.51 | Teste Loss: 46.50870631635189
50 Train acc: 88.94 | Train Loss: 127.48947709798813 || Teste acc: 78.71 | Teste Loss: 66.55629807710648
