
0 Train acc: 39.272 | Train Loss: 635.9558726549149 || Teste acc: 50.61 | Teste Loss: 136.21532881259918
1 Train acc: 59.85 | Train Loss: 436.3850313425064 || Teste acc: 62.3 | Teste Loss: 107.83773845434189
2 Train acc: 68.994 | Train Loss: 342.37246483564377 || Teste acc: 71.52 | Teste Loss: 81.75417441129684
3 Train acc: 74.188 | Train Loss: 290.18178802728653 || Teste acc: 70.86 | Teste Loss: 84.24654281139374
4 Train acc: 76.482 | Train Loss: 266.7738271057606 || Teste acc: 68.7 | Teste Loss: 92.37277454137802
5 Train acc: 77.738 | Train Loss: 253.48992756009102 || Teste acc: 67.85 | Teste Loss: 98.02869230508804
6 Train acc: 78.716 | Train Loss: 243.55235275626183 || Teste acc: 67.88 | Teste Loss: 102.29034858942032
7 Train acc: 79.58 | Train Loss: 232.8208456337452 || Teste acc: 74.32 | Teste Loss: 74.43758901953697
8 Train acc: 80.25 | Train Loss: 225.18668299913406 || Teste acc: 68.0 | Teste Loss: 99.22789585590363
9 Train acc: 80.666 | Train Loss: 220.3182423710823 || Teste acc: 66.71 | Teste Loss: 99.27454322576523
10 Train acc: 80.868 | Train Loss: 218.8449628353119 || Teste acc: 71.11 | Teste Loss: 91.45390313863754
11 Train acc: 81.424 | Train Loss: 212.84929564595222 || Teste acc: 77.84 | Teste Loss: 63.77961930632591
12 Train acc: 81.576 | Train Loss: 210.88740348815918 || Teste acc: 68.57 | Teste Loss: 105.52458393573761
13 Train acc: 82.096 | Train Loss: 205.4108591377735 || Teste acc: 74.91 | Teste Loss: 74.15486142039299
14 Train acc: 82.17 | Train Loss: 203.39857453107834 || Teste acc: 79.88 | Teste Loss: 60.92861804366112
15 Train acc: 82.516 | Train Loss: 202.10951533913612 || Teste acc: 76.58 | Teste Loss: 71.43543407320976
16 Train acc: 82.742 | Train Loss: 198.65973642468452 || Teste acc: 70.87 | Teste Loss: 98.74776101112366
17 Train acc: 82.622 | Train Loss: 198.50277116894722 || Teste acc: 78.45 | Teste Loss: 64.23941388726234
18 Train acc: 82.77 | Train Loss: 198.2944642007351 || Teste acc: 71.8 | Teste Loss: 90.64652597904205
19 Train acc: 83.53 | Train Loss: 190.50120836496353 || Teste acc: 75.47 | Teste Loss: 73.99002915620804
20 Train acc: 83.444 | Train Loss: 191.65779480338097 || Teste acc: 71.82 | Teste Loss: 86.61910963058472
21 Train acc: 83.566 | Train Loss: 187.8636513054371 || Teste acc: 79.2 | Teste Loss: 62.1802342236042
22 Train acc: 83.724 | Train Loss: 187.9931065440178 || Teste acc: 79.15 | Teste Loss: 63.11005574464798
23 Train acc: 83.794 | Train Loss: 187.15401503443718 || Teste acc: 80.92 | Teste Loss: 57.07449561357498
24 Train acc: 84.206 | Train Loss: 183.17037408053875 || Teste acc: 77.1 | Teste Loss: 68.45968261361122
25 Train acc: 84.316 | Train Loss: 180.3375696837902 || Teste acc: 81.05 | Teste Loss: 56.726212561130524
26 Train acc: 84.504 | Train Loss: 178.6875812113285 || Teste acc: 73.77 | Teste Loss: 84.14287090301514
27 Train acc: 84.578 | Train Loss: 177.99933713674545 || Teste acc: 71.04 | Teste Loss: 88.80278342962265
28 Train acc: 84.746 | Train Loss: 174.96776397526264 || Teste acc: 78.04 | Teste Loss: 69.52222913503647
29 Train acc: 85.0 | Train Loss: 172.43240532279015 || Teste acc: 80.9 | Teste Loss: 59.31984469294548
30 Train acc: 84.95 | Train Loss: 173.84688234329224 || Teste acc: 82.34 | Teste Loss: 53.07872864603996
31 Train acc: 85.538 | Train Loss: 168.14937864243984 || Teste acc: 82.0 | Teste Loss: 54.01816567778587
32 Train acc: 85.262 | Train Loss: 168.8115566521883 || Teste acc: 79.0 | Teste Loss: 62.97696116566658
33 Train acc: 85.526 | Train Loss: 166.70467787981033 || Teste acc: 82.58 | Teste Loss: 51.99701860547066
34 Train acc: 85.62 | Train Loss: 165.71447122097015 || Teste acc: 81.34 | Teste Loss: 55.35138696432114
35 Train acc: 86.112 | Train Loss: 160.12093299627304 || Teste acc: 82.8 | Teste Loss: 50.88096769154072
36 Train acc: 86.006 | Train Loss: 161.590514421463 || Teste acc: 76.66 | Teste Loss: 69.88233214616776
37 Train acc: 86.456 | Train Loss: 157.1588550209999 || Teste acc: 77.85 | Teste Loss: 69.01777330040932
38 Train acc: 86.452 | Train Loss: 156.52606177330017 || Teste acc: 77.54 | Teste Loss: 70.82254710793495
39 Train acc: 86.64 | Train Loss: 155.8303513675928 || Teste acc: 78.15 | Teste Loss: 67.01321479678154
40 Train acc: 87.128 | Train Loss: 150.9547180533409 || Teste acc: 84.75 | Teste Loss: 45.86443577706814
41 Train acc: 87.078 | Train Loss: 149.23784290254116 || Teste acc: 81.68 | Teste Loss: 55.385339587926865
42 Train acc: 87.382 | Train Loss: 146.0030607432127 || Teste acc: 83.94 | Teste Loss: 46.68037611246109
43 Train acc: 87.342 | Train Loss: 144.90761940181255 || Teste acc: 76.88 | Teste Loss: 70.92756825685501
44 Train acc: 87.518 | Train Loss: 142.92392846941948 || Teste acc: 83.81 | Teste Loss: 47.77723401784897
45 Train acc: 87.738 | Train Loss: 140.16145630180836 || Teste acc: 80.2 | Teste Loss: 61.19490784406662
46 Train acc: 88.076 | Train Loss: 136.5065750926733 || Teste acc: 85.33 | Teste Loss: 43.07948486506939
47 Train acc: 88.114 | Train Loss: 136.90095511078835 || Teste acc: 84.48 | Teste Loss: 47.06470134854317
48 Train acc: 88.342 | Train Loss: 134.27851566672325 || Teste acc: 83.03 | Teste Loss: 49.81207448244095
49 Train acc: 88.474 | Train Loss: 132.535254240036 || Teste acc: 82.98 | Teste Loss: 50.354059010744095
50 Train acc: 88.948 | Train Loss: 127.95609816908836 || Teste acc: 81.06 | Teste Loss: 56.21444246172905
51 Train acc: 89.024 | Train Loss: 125.98574110865593 || Teste acc: 86.59 | Teste Loss: 39.44306915998459
52 Train acc: 89.23 | Train Loss: 122.33791962265968 || Teste acc: 86.03 | Teste Loss: 42.42771512269974
53 Train acc: 89.476 | Train Loss: 120.59620395302773 || Teste acc: 79.06 | Teste Loss: 66.83863028883934
54 Train acc: 89.742 | Train Loss: 117.35607907176018 || Teste acc: 85.68 | Teste Loss: 42.24852645397186
55 Train acc: 89.842 | Train Loss: 117.64303135126829 || Teste acc: 86.31 | Teste Loss: 43.093832433223724
56 Train acc: 90.264 | Train Loss: 112.43458557128906 || Teste acc: 86.59 | Teste Loss: 41.66588827967644
57 Train acc: 90.544 | Train Loss: 109.41830816864967 || Teste acc: 83.61 | Teste Loss: 50.92948392033577
58 Train acc: 90.934 | Train Loss: 105.81499978154898 || Teste acc: 87.98 | Teste Loss: 36.311044842004776
59 Train acc: 91.126 | Train Loss: 103.12715531140566 || Teste acc: 87.43 | Teste Loss: 38.58267284929752
60 Train acc: 91.094 | Train Loss: 101.32970207929611 || Teste acc: 88.35 | Teste Loss: 35.9834339171648
61 Train acc: 91.676 | Train Loss: 97.00821942836046 || Teste acc: 87.36 | Teste Loss: 37.5043959915638
62 Train acc: 91.872 | Train Loss: 95.01869389414787 || Teste acc: 88.96 | Teste Loss: 33.1897329390049
63 Train acc: 91.918 | Train Loss: 93.035540394485 || Teste acc: 88.6 | Teste Loss: 34.15599761903286
64 Train acc: 92.342 | Train Loss: 87.86574705690145 || Teste acc: 88.55 | Teste Loss: 33.25424787402153
65 Train acc: 92.528 | Train Loss: 86.62732619047165 || Teste acc: 89.62 | Teste Loss: 31.296058267354965
66 Train acc: 92.89 | Train Loss: 82.22948805987835 || Teste acc: 87.74 | Teste Loss: 37.439275830984116
67 Train acc: 93.066 | Train Loss: 78.94288954138756 || Teste acc: 89.33 | Teste Loss: 32.92888931930065
68 Train acc: 93.56 | Train Loss: 74.71827232837677 || Teste acc: 89.22 | Teste Loss: 33.31310748308897
69 Train acc: 93.796 | Train Loss: 72.23971816152334 || Teste acc: 87.95 | Teste Loss: 37.214831471443176
70 Train acc: 94.096 | Train Loss: 67.3574722185731 || Teste acc: 90.5 | Teste Loss: 30.019782036542892
71 Train acc: 94.412 | Train Loss: 64.77507020905614 || Teste acc: 90.44 | Teste Loss: 29.456907242536545
72 Train acc: 94.686 | Train Loss: 61.296439066529274 || Teste acc: 90.11 | Teste Loss: 31.14434376358986
73 Train acc: 95.186 | Train Loss: 56.157107304781675 || Teste acc: 89.29 | Teste Loss: 33.518943160772324
74 Train acc: 95.536 | Train Loss: 52.06095362082124 || Teste acc: 90.57 | Teste Loss: 30.344872385263443
75 Train acc: 95.726 | Train Loss: 49.52067937143147 || Teste acc: 90.88 | Teste Loss: 29.28933186084032
76 Train acc: 96.042 | Train Loss: 46.095067258924246 || Teste acc: 91.38 | Teste Loss: 27.073939852416515
77 Train acc: 96.11 | Train Loss: 45.28735278733075 || Teste acc: 90.71 | Teste Loss: 29.77522076666355
78 Train acc: 96.766 | Train Loss: 38.38636042550206 || Teste acc: 91.93 | Teste Loss: 26.728750318288803
79 Train acc: 97.06 | Train Loss: 34.2455000448972 || Teste acc: 91.26 | Teste Loss: 28.173992484807968
80 Train acc: 97.404 | Train Loss: 30.897336965426803 || Teste acc: 92.35 | Teste Loss: 25.84291246533394
81 Train acc: 97.7 | Train Loss: 26.499643871560693 || Teste acc: 92.71 | Teste Loss: 23.653776943683624
82 Train acc: 98.186 | Train Loss: 22.66559572611004 || Teste acc: 93.54 | Teste Loss: 21.796890184283257
83 Train acc: 98.334 | Train Loss: 20.682843012735248 || Teste acc: 93.0 | Teste Loss: 24.339459724724293
84 Train acc: 98.648 | Train Loss: 17.06821595178917 || Teste acc: 93.41 | Teste Loss: 23.08240019902587
85 Train acc: 98.958 | Train Loss: 13.887014785781503 || Teste acc: 93.43 | Teste Loss: 22.709428530186415
86 Train acc: 99.194 | Train Loss: 10.914448643103242 || Teste acc: 94.03 | Teste Loss: 20.60170839354396
87 Train acc: 99.39 | Train Loss: 8.636041956953704 || Teste acc: 94.26 | Teste Loss: 20.390356618911028
88 Train acc: 99.572 | Train Loss: 6.61337955086492 || Teste acc: 94.36 | Teste Loss: 19.711611919105053
