
0 Train acc: 38.986 | Train Loss: 638.6927223205566 || Teste acc: 51.38 | Teste Loss: 133.24497258663177
1 Train acc: 59.258 | Train Loss: 439.5387319326401 || Teste acc: 58.66 | Teste Loss: 119.70222055912018
2 Train acc: 68.64 | Train Loss: 348.58695739507675 || Teste acc: 63.27 | Teste Loss: 113.18842178583145
3 Train acc: 73.404 | Train Loss: 298.45252376794815 || Teste acc: 64.9 | Teste Loss: 106.17409598827362
4 Train acc: 76.054 | Train Loss: 270.9268255829811 || Teste acc: 66.81 | Teste Loss: 107.92019146680832
5 Train acc: 77.59 | Train Loss: 256.32583451271057 || Teste acc: 71.36 | Teste Loss: 85.30649417638779
6 Train acc: 78.534 | Train Loss: 243.99210944771767 || Teste acc: 70.43 | Teste Loss: 84.97001230716705
7 Train acc: 79.524 | Train Loss: 235.09388703107834 || Teste acc: 58.66 | Teste Loss: 132.17947620153427
8 Train acc: 80.122 | Train Loss: 227.257332354784 || Teste acc: 69.84 | Teste Loss: 92.26094263792038
9 Train acc: 80.45 | Train Loss: 223.1646825671196 || Teste acc: 70.49 | Teste Loss: 89.77015388011932
10 Train acc: 80.936 | Train Loss: 218.60998871922493 || Teste acc: 77.11 | Teste Loss: 67.71049213409424
11 Train acc: 81.468 | Train Loss: 213.32011452317238 || Teste acc: 69.68 | Teste Loss: 90.2430694103241
12 Train acc: 81.536 | Train Loss: 211.89142191410065 || Teste acc: 66.21 | Teste Loss: 112.67038184404373
13 Train acc: 81.84 | Train Loss: 208.77729764580727 || Teste acc: 79.6 | Teste Loss: 61.246281772851944
14 Train acc: 82.304 | Train Loss: 204.53892877697945 || Teste acc: 73.48 | Teste Loss: 78.33782750368118
15 Train acc: 81.992 | Train Loss: 205.31384029984474 || Teste acc: 77.73 | Teste Loss: 67.7844894528389
16 Train acc: 82.482 | Train Loss: 201.4996066391468 || Teste acc: 77.28 | Teste Loss: 69.70935344696045
17 Train acc: 82.952 | Train Loss: 197.5537149310112 || Teste acc: 76.66 | Teste Loss: 70.90996038913727
18 Train acc: 82.816 | Train Loss: 196.58479112386703 || Teste acc: 80.32 | Teste Loss: 58.47669193148613
19 Train acc: 83.178 | Train Loss: 193.74634358286858 || Teste acc: 78.02 | Teste Loss: 66.87612617015839
20 Train acc: 83.254 | Train Loss: 193.59925386309624 || Teste acc: 77.62 | Teste Loss: 66.0526984333992
21 Train acc: 83.256 | Train Loss: 192.1736118197441 || Teste acc: 68.4 | Teste Loss: 101.89863711595535
22 Train acc: 83.542 | Train Loss: 188.46509450674057 || Teste acc: 78.62 | Teste Loss: 64.78383067250252
23 Train acc: 83.968 | Train Loss: 183.7640534043312 || Teste acc: 78.38 | Teste Loss: 67.15379986166954
24 Train acc: 83.84 | Train Loss: 185.73882713913918 || Teste acc: 73.76 | Teste Loss: 87.24897301197052
25 Train acc: 84.256 | Train Loss: 181.98750440776348 || Teste acc: 78.38 | Teste Loss: 65.92957535386086
26 Train acc: 84.158 | Train Loss: 182.41557946801186 || Teste acc: 76.9 | Teste Loss: 69.37972295284271
27 Train acc: 84.598 | Train Loss: 177.684235394001 || Teste acc: 78.93 | Teste Loss: 62.41322886943817
28 Train acc: 84.522 | Train Loss: 175.49209913611412 || Teste acc: 74.82 | Teste Loss: 75.29861533641815
29 Train acc: 84.852 | Train Loss: 174.66830958426 || Teste acc: 83.13 | Teste Loss: 49.68645018339157
30 Train acc: 85.17 | Train Loss: 172.49916519224644 || Teste acc: 80.7 | Teste Loss: 59.26523274183273
31 Train acc: 85.196 | Train Loss: 171.00431948900223 || Teste acc: 80.91 | Teste Loss: 58.84086847305298
32 Train acc: 85.356 | Train Loss: 170.30675610899925 || Teste acc: 82.74 | Teste Loss: 50.027228474617004
33 Train acc: 85.612 | Train Loss: 166.29599928855896 || Teste acc: 82.24 | Teste Loss: 52.38054287433624
34 Train acc: 85.658 | Train Loss: 164.8969508111477 || Teste acc: 75.4 | Teste Loss: 73.41644617915154
35 Train acc: 86.104 | Train Loss: 161.72889845073223 || Teste acc: 78.41 | Teste Loss: 65.5798933506012
36 Train acc: 85.832 | Train Loss: 162.98849849402905 || Teste acc: 81.63 | Teste Loss: 55.40200501680374
37 Train acc: 86.622 | Train Loss: 156.44705966114998 || Teste acc: 76.81 | Teste Loss: 71.95066913962364
38 Train acc: 86.242 | Train Loss: 158.6745311319828 || Teste acc: 81.61 | Teste Loss: 55.0145218372345
39 Train acc: 86.834 | Train Loss: 152.37875536084175 || Teste acc: 80.91 | Teste Loss: 58.22656810283661
40 Train acc: 86.838 | Train Loss: 153.3293544203043 || Teste acc: 80.88 | Teste Loss: 58.44435480237007
41 Train acc: 86.898 | Train Loss: 151.11024752259254 || Teste acc: 84.85 | Teste Loss: 45.016701489686966
42 Train acc: 87.35 | Train Loss: 146.8241444826126 || Teste acc: 77.02 | Teste Loss: 71.70381033420563
43 Train acc: 87.572 | Train Loss: 143.62250564992428 || Teste acc: 81.91 | Teste Loss: 55.30522069334984
44 Train acc: 87.804 | Train Loss: 141.97312285006046 || Teste acc: 78.16 | Teste Loss: 73.50523859262466
45 Train acc: 87.86 | Train Loss: 142.41570477187634 || Teste acc: 81.02 | Teste Loss: 59.09822943806648
46 Train acc: 88.098 | Train Loss: 139.88346201181412 || Teste acc: 82.41 | Teste Loss: 53.81532782316208
47 Train acc: 88.108 | Train Loss: 137.0269315391779 || Teste acc: 73.95 | Teste Loss: 89.70022550225258
48 Train acc: 88.53 | Train Loss: 133.47204196453094 || Teste acc: 82.74 | Teste Loss: 50.04606172442436
49 Train acc: 88.958 | Train Loss: 129.56095351278782 || Teste acc: 81.19 | Teste Loss: 56.93217733502388
50 Train acc: 89.026 | Train Loss: 128.21809862554073 || Teste acc: 83.87 | Teste Loss: 47.20090860128403
51 Train acc: 89.124 | Train Loss: 124.79880850017071 || Teste acc: 87.29 | Teste Loss: 38.18042862415314
52 Train acc: 89.458 | Train Loss: 121.41616794466972 || Teste acc: 86.67 | Teste Loss: 40.68872493505478
53 Train acc: 89.466 | Train Loss: 122.31931413710117 || Teste acc: 87.64 | Teste Loss: 36.55270899832249
54 Train acc: 89.838 | Train Loss: 117.53191116452217 || Teste acc: 85.69 | Teste Loss: 42.59656138718128
55 Train acc: 90.212 | Train Loss: 113.59628187119961 || Teste acc: 81.33 | Teste Loss: 57.85738688707352
56 Train acc: 90.346 | Train Loss: 112.27432371675968 || Teste acc: 86.89 | Teste Loss: 38.46961060166359
57 Train acc: 90.722 | Train Loss: 107.40229666233063 || Teste acc: 85.35 | Teste Loss: 44.70061457157135
58 Train acc: 90.6 | Train Loss: 107.96650891751051 || Teste acc: 84.57 | Teste Loss: 48.163580268621445
59 Train acc: 91.086 | Train Loss: 103.47641502320766 || Teste acc: 88.02 | Teste Loss: 36.33280707895756
60 Train acc: 91.404 | Train Loss: 101.22920999675989 || Teste acc: 87.17 | Teste Loss: 39.775344491004944
61 Train acc: 91.488 | Train Loss: 98.77441614866257 || Teste acc: 87.49 | Teste Loss: 37.02390842139721
62 Train acc: 91.86 | Train Loss: 95.2739297747612 || Teste acc: 87.4 | Teste Loss: 37.52172353863716
63 Train acc: 92.002 | Train Loss: 92.2436914741993 || Teste acc: 87.07 | Teste Loss: 38.067028388381004
64 Train acc: 92.232 | Train Loss: 88.27317091077566 || Teste acc: 87.27 | Teste Loss: 39.40382041037083
65 Train acc: 92.506 | Train Loss: 86.98888371884823 || Teste acc: 85.16 | Teste Loss: 46.435634791851044
66 Train acc: 92.944 | Train Loss: 82.47253127396107 || Teste acc: 88.79 | Teste Loss: 33.17549556493759
67 Train acc: 93.272 | Train Loss: 77.4835600182414 || Teste acc: 88.7 | Teste Loss: 34.533267080783844
68 Train acc: 93.428 | Train Loss: 76.4962046071887 || Teste acc: 88.8 | Teste Loss: 34.16044783592224
69 Train acc: 93.988 | Train Loss: 70.60993583500385 || Teste acc: 88.3 | Teste Loss: 37.308134347200394
70 Train acc: 94.166 | Train Loss: 67.72639737278223 || Teste acc: 90.81 | Teste Loss: 27.81156039237976
71 Train acc: 94.552 | Train Loss: 64.04528981074691 || Teste acc: 89.89 | Teste Loss: 31.380290865898132
72 Train acc: 94.63 | Train Loss: 62.328072518110275 || Teste acc: 89.12 | Teste Loss: 33.90990534424782
73 Train acc: 95.104 | Train Loss: 57.07946461066604 || Teste acc: 89.19 | Teste Loss: 33.4170710593462
74 Train acc: 95.374 | Train Loss: 54.114167992025614 || Teste acc: 90.58 | Teste Loss: 29.838514626026154
75 Train acc: 95.584 | Train Loss: 51.662907008081675 || Teste acc: 90.69 | Teste Loss: 29.075090140104294
76 Train acc: 96.082 | Train Loss: 46.448754485696554 || Teste acc: 90.88 | Teste Loss: 29.478757180273533
77 Train acc: 96.546 | Train Loss: 41.38735060580075 || Teste acc: 92.34 | Teste Loss: 23.635912723839283
78 Train acc: 96.798 | Train Loss: 37.16352581046522 || Teste acc: 91.13 | Teste Loss: 28.509385161101818
79 Train acc: 97.066 | Train Loss: 34.134298572316766 || Teste acc: 91.71 | Teste Loss: 26.128617413342
80 Train acc: 97.278 | Train Loss: 33.18702873867005 || Teste acc: 91.72 | Teste Loss: 26.07092447578907
81 Train acc: 97.824 | Train Loss: 26.97230676189065 || Teste acc: 92.07 | Teste Loss: 27.603569116443396
82 Train acc: 98.048 | Train Loss: 24.276313718408346 || Teste acc: 92.47 | Teste Loss: 25.052947275340557
83 Train acc: 98.426 | Train Loss: 19.988037051633 || Teste acc: 93.45 | Teste Loss: 22.522040106356144
84 Train acc: 98.616 | Train Loss: 18.067191804759204 || Teste acc: 93.32 | Teste Loss: 23.98660519719124
85 Train acc: 98.898 | Train Loss: 14.834646524861455 || Teste acc: 93.37 | Teste Loss: 22.785668648779392
86 Train acc: 99.266 | Train Loss: 10.993513436056674 || Teste acc: 93.76 | Teste Loss: 21.328571181744337
87 Train acc: 99.404 | Train Loss: 8.612587530864403 || Teste acc: 94.22 | Teste Loss: 20.473275810480118
88 Train acc: 99.546 | Train Loss: 7.109948456287384 || Teste acc: 94.64 | Teste Loss: 19.502462197095156
89 Train acc: 99.656 | Train Loss: 5.737718168878928 || Teste acc: 94.26 | Teste Loss: 20.570977941155434
90 Train acc: 99.728 | Train Loss: 4.813776433235034 || Teste acc: 94.56 | Teste Loss: 19.841537848114967
91 Train acc: 99.842 | Train Loss: 3.8099474494811147 || Teste acc: 94.89 | Teste Loss: 19.0886248126626
92 Train acc: 99.854 | Train Loss: 3.248948552645743 || Teste acc: 94.77 | Teste Loss: 18.952756628394127
93 Train acc: 99.916 | Train Loss: 2.793282411294058 || Teste acc: 95.02 | Teste Loss: 18.49860230088234
94 Train acc: 99.92 | Train Loss: 2.721251369919628 || Teste acc: 95.07 | Teste Loss: 18.56872960180044
95 Train acc: 99.944 | Train Loss: 2.2730520584154874 || Teste acc: 95.1 | Teste Loss: 18.225260887295008
96 Train acc: 99.93 | Train Loss: 2.4136378783732653 || Teste acc: 95.19 | Teste Loss: 18.14303543046117
97 Train acc: 99.954 | Train Loss: 2.0661037259269506 || Teste acc: 95.15 | Teste Loss: 18.318949330598116
98 Train acc: 99.944 | Train Loss: 2.222631742246449 || Teste acc: 95.21 | Teste Loss: 18.09415739774704
99 Train acc: 99.934 | Train Loss: 2.333621570141986 || Teste acc: 95.15 | Teste Loss: 18.177580140531063
101 Train acc: 99.938 | Train Loss: 2.2456131945364177 || Teste acc: 95.05 | Teste Loss: 18.242590133100748
102 Train acc: 99.96 | Train Loss: 2.1722273947671056 || Teste acc: 95.09 | Teste Loss: 18.1796054542064678
103 Train acc: 99.936 | Train Loss: 2.2395373720210046 || Teste acc: 95.2 | Teste Loss: 18.1753072217106828
104 Train acc: 99.95 | Train Loss: 2.1976181529462337 || Teste acc: 95.2 | Teste Loss: 18.01280491426587828
105 Train acc: 99.95 | Train Loss: 2.116990912007168 || Teste acc: 95.16 | Teste Loss: 18.01218664273619728
106 Train acc: 99.946 | Train Loss: 2.212133862776682 || Teste acc: 95.08 | Teste Loss: 18.1747522950172428
107 Train acc: 99.932 | Train Loss: 2.247122491709888 || Teste acc: 95.01 | Teste Loss: 18.0037179514765748
108 Train acc: 99.966 | Train Loss: 2.1465008901432157 || Teste acc: 95.17 | Teste Loss: 18.133838634938748
109 Train acc: 99.952 | Train Loss: 2.2292035399004817 || Teste acc: 94.98 | Teste Loss: 18.535890188068158
110 Train acc: 99.938 | Train Loss: 2.258180235978216 || Teste acc: 95.08 | Teste Loss: 18.3222452551126488
111 Train acc: 99.878 | Train Loss: 2.8549636171665043 || Teste acc: 94.73 | Teste Loss: 19.692778032273054
112 Train acc: 99.906 | Train Loss: 2.8228122550062835 || Teste acc: 94.7 | Teste Loss: 19.9879841580986984
113 Train acc: 99.814 | Train Loss: 4.047217280836776 || Teste acc: 94.17 | Teste Loss: 22.0325417965650564
114 Train acc: 99.526 | Train Loss: 7.092889554332942 || Teste acc: 93.39 | Teste Loss: 24.7933802157640464
115 Train acc: 98.792 | Train Loss: 15.502070561982691 || Teste acc: 91.75 | Teste Loss: 28.243589788675314
116 Train acc: 98.206 | Train Loss: 21.991192812100053 || Teste acc: 92.55 | Teste Loss: 25.768931120634084
117 Train acc: 97.63 | Train Loss: 29.557303146459162 || Teste acc: 91.45 | Teste Loss: 30.0376182049512864
118 Train acc: 97.0 | Train Loss: 35.828231832012534 || Teste acc: 89.35 | Teste Loss: 36.48244673758745864
119 Train acc: 96.428 | Train Loss: 41.78450231999159 || Teste acc: 90.43 | Teste Loss: 31.1023406386375434
