
0 Train acc: 41.18 | Train Loss: 617.3834263086319 || Teste acc: 51.33 | Teste Loss: 136.367045044899
1 Train acc: 60.622 | Train Loss: 427.59338915348053 || Teste acc: 60.71 | Teste Loss: 112.3356801867485
2 Train acc: 68.802 | Train Loss: 345.9998859167099 || Teste acc: 63.36 | Teste Loss: 106.27980905771255
3 Train acc: 73.816 | Train Loss: 295.1292263865471 || Teste acc: 66.74 | Teste Loss: 98.64917814731598
4 Train acc: 75.908 | Train Loss: 272.01751297712326 || Teste acc: 75.1 | Teste Loss: 73.87938883900642
5 Train acc: 77.486 | Train Loss: 255.64451426267624 || Teste acc: 70.66 | Teste Loss: 90.3914685845375
6 Train acc: 78.662 | Train Loss: 242.9511897265911 || Teste acc: 72.63 | Teste Loss: 81.8420193195343
7 Train acc: 79.602 | Train Loss: 234.85870483517647 || Teste acc: 73.61 | Teste Loss: 79.95362350344658
8 Train acc: 80.242 | Train Loss: 226.10017919540405 || Teste acc: 72.93 | Teste Loss: 80.10651409626007
9 Train acc: 80.504 | Train Loss: 224.81417295336723 || Teste acc: 72.25 | Teste Loss: 83.24039602279663
10 Train acc: 81.074 | Train Loss: 217.233090788126 || Teste acc: 69.71 | Teste Loss: 96.38901054859161
11 Train acc: 81.412 | Train Loss: 212.7362780570984 || Teste acc: 72.98 | Teste Loss: 81.79298904538155
12 Train acc: 81.928 | Train Loss: 208.68117162585258 || Teste acc: 77.68 | Teste Loss: 67.74403753876686
13 Train acc: 82.144 | Train Loss: 205.26965102553368 || Teste acc: 78.44 | Teste Loss: 63.637889951467514
14 Train acc: 82.174 | Train Loss: 204.86992019414902 || Teste acc: 77.93 | Teste Loss: 65.32786276936531
15 Train acc: 82.494 | Train Loss: 200.4503920674324 || Teste acc: 76.45 | Teste Loss: 68.74741914868355
16 Train acc: 82.788 | Train Loss: 198.8169155716896 || Teste acc: 78.28 | Teste Loss: 63.96083307266235
17 Train acc: 82.976 | Train Loss: 197.37716799974442 || Teste acc: 76.5 | Teste Loss: 68.5404144525528
18 Train acc: 83.004 | Train Loss: 194.79657450318336 || Teste acc: 76.69 | Teste Loss: 74.0920139849186
19 Train acc: 83.326 | Train Loss: 192.9845227599144 || Teste acc: 75.76 | Teste Loss: 73.98341619968414
20 Train acc: 83.354 | Train Loss: 189.31799712777138 || Teste acc: 74.12 | Teste Loss: 76.01123535633087
21 Train acc: 83.682 | Train Loss: 187.7895342707634 || Teste acc: 75.46 | Teste Loss: 72.90244022011757
22 Train acc: 83.588 | Train Loss: 189.60023361444473 || Teste acc: 80.65 | Teste Loss: 58.47257852554321
23 Train acc: 83.912 | Train Loss: 185.1133714914322 || Teste acc: 82.06 | Teste Loss: 54.06564277410507
24 Train acc: 83.982 | Train Loss: 184.461284160614 || Teste acc: 74.89 | Teste Loss: 75.3114542067051
25 Train acc: 84.59 | Train Loss: 177.48868787288666 || Teste acc: 67.0 | Teste Loss: 120.3362478017807
26 Train acc: 84.596 | Train Loss: 178.14796037971973 || Teste acc: 76.84 | Teste Loss: 72.20409137010574
27 Train acc: 84.658 | Train Loss: 174.58689998090267 || Teste acc: 81.16 | Teste Loss: 56.47165697813034
28 Train acc: 85.088 | Train Loss: 172.71139469742775 || Teste acc: 81.63 | Teste Loss: 53.07902857661247
29 Train acc: 85.138 | Train Loss: 171.65940991044044 || Teste acc: 75.62 | Teste Loss: 76.6576324403286
30 Train acc: 85.298 | Train Loss: 170.64122001826763 || Teste acc: 79.36 | Teste Loss: 66.4758911728859
31 Train acc: 85.288 | Train Loss: 169.11561259627342 || Teste acc: 83.11 | Teste Loss: 51.56708288192749
32 Train acc: 85.824 | Train Loss: 165.05078859627247 || Teste acc: 78.29 | Teste Loss: 66.31725478172302
33 Train acc: 85.674 | Train Loss: 163.81190629303455 || Teste acc: 81.66 | Teste Loss: 54.32113176584244
34 Train acc: 85.756 | Train Loss: 165.02750670909882 || Teste acc: 81.17 | Teste Loss: 58.60159328579903
35 Train acc: 86.238 | Train Loss: 159.89688654243946 || Teste acc: 82.71 | Teste Loss: 50.60232123732567
36 Train acc: 86.45 | Train Loss: 157.7630830705166 || Teste acc: 77.13 | Teste Loss: 68.3641329407692
37 Train acc: 86.428 | Train Loss: 157.4899973422289 || Teste acc: 83.84 | Teste Loss: 48.62204647064209
38 Train acc: 86.502 | Train Loss: 155.84873758256435 || Teste acc: 83.46 | Teste Loss: 50.12192043662071
39 Train acc: 87.03 | Train Loss: 150.5499820113182 || Teste acc: 81.05 | Teste Loss: 62.389679968357086
40 Train acc: 87.05 | Train Loss: 150.60850943624973 || Teste acc: 83.29 | Teste Loss: 50.72510513663292
41 Train acc: 87.02 | Train Loss: 150.72114849090576 || Teste acc: 76.55 | Teste Loss: 73.46402052044868
42 Train acc: 87.35 | Train Loss: 146.2872100174427 || Teste acc: 84.44 | Teste Loss: 45.17681451141834
43 Train acc: 87.51 | Train Loss: 144.20633326470852 || Teste acc: 81.35 | Teste Loss: 55.95287787914276
44 Train acc: 87.736 | Train Loss: 141.44959351420403 || Teste acc: 79.65 | Teste Loss: 62.6195153594017
45 Train acc: 88.062 | Train Loss: 138.38280446827412 || Teste acc: 81.82 | Teste Loss: 54.23846408724785
46 Train acc: 88.258 | Train Loss: 137.10361072421074 || Teste acc: 82.75 | Teste Loss: 49.4417410492897
47 Train acc: 88.41 | Train Loss: 134.5187600404024 || Teste acc: 84.18 | Teste Loss: 47.15166762471199
48 Train acc: 88.594 | Train Loss: 130.70036144554615 || Teste acc: 79.5 | Teste Loss: 64.71745100617409
49 Train acc: 88.966 | Train Loss: 128.9887825846672 || Teste acc: 79.37 | Teste Loss: 63.7049215734005
50 Train acc: 89.078 | Train Loss: 126.31464478373528 || Teste acc: 83.79 | Teste Loss: 49.79325611889362
51 Train acc: 89.116 | Train Loss: 125.86407545208931 || Teste acc: 79.74 | Teste Loss: 64.25771555304527
52 Train acc: 89.586 | Train Loss: 120.61079561710358 || Teste acc: 85.17 | Teste Loss: 44.41852204501629
53 Train acc: 89.782 | Train Loss: 119.09014500677586 || Teste acc: 84.83 | Teste Loss: 45.551782980561256
54 Train acc: 89.904 | Train Loss: 117.32551132887602 || Teste acc: 86.82 | Teste Loss: 38.68721801042557
55 Train acc: 90.366 | Train Loss: 111.55936082452536 || Teste acc: 77.0 | Teste Loss: 73.34262430667877
56 Train acc: 90.202 | Train Loss: 112.323739990592 || Teste acc: 82.42 | Teste Loss: 55.15712848305702
57 Train acc: 90.628 | Train Loss: 108.31984886527061 || Teste acc: 80.31 | Teste Loss: 64.95071044564247
58 Train acc: 90.646 | Train Loss: 105.20207231491804 || Teste acc: 86.19 | Teste Loss: 42.492019817233086
59 Train acc: 91.074 | Train Loss: 102.58078675717115 || Teste acc: 86.92 | Teste Loss: 39.56366987526417
