
0 Train acc: 39.092 | Train Loss: 641.6073740720749 || Teste acc: 46.89 | Teste Loss: 145.62623798847198
1 Train acc: 57.756 | Train Loss: 458.1004067659378 || Teste acc: 57.5 | Teste Loss: 121.52475529909134
2 Train acc: 67.216 | Train Loss: 362.0130608677864 || Teste acc: 61.56 | Teste Loss: 120.4758780002594
3 Train acc: 73.172 | Train Loss: 303.0234068930149 || Teste acc: 60.07 | Teste Loss: 116.67789995670319
4 Train acc: 76.058 | Train Loss: 272.94377541542053 || Teste acc: 69.35 | Teste Loss: 91.11906862258911
5 Train acc: 77.522 | Train Loss: 256.3967257142067 || Teste acc: 65.57 | Teste Loss: 117.97029936313629
6 Train acc: 78.726 | Train Loss: 244.28078305721283 || Teste acc: 78.23 | Teste Loss: 64.68515679240227
7 Train acc: 79.606 | Train Loss: 234.17981386184692 || Teste acc: 69.01 | Teste Loss: 100.03329384326935
8 Train acc: 80.016 | Train Loss: 227.36405289173126 || Teste acc: 74.55 | Teste Loss: 75.56987228989601
9 Train acc: 80.482 | Train Loss: 223.68800649046898 || Teste acc: 71.02 | Teste Loss: 92.5184057354927
10 Train acc: 81.092 | Train Loss: 217.00944140553474 || Teste acc: 73.31 | Teste Loss: 75.49217504262924
11 Train acc: 81.244 | Train Loss: 214.71870639920235 || Teste acc: 68.32 | Teste Loss: 100.42501574754715
12 Train acc: 81.448 | Train Loss: 212.5471610724926 || Teste acc: 79.62 | Teste Loss: 60.024715572595596
13 Train acc: 81.828 | Train Loss: 209.82849103212357 || Teste acc: 73.46 | Teste Loss: 81.08475911617279
14 Train acc: 82.336 | Train Loss: 204.09248653054237 || Teste acc: 71.96 | Teste Loss: 94.32942700386047
15 Train acc: 82.38 | Train Loss: 203.8902826011181 || Teste acc: 78.51 | Teste Loss: 63.452400386333466
16 Train acc: 82.734 | Train Loss: 198.86041900515556 || Teste acc: 79.39 | Teste Loss: 60.9340498149395
17 Train acc: 83.036 | Train Loss: 196.05253145098686 || Teste acc: 73.72 | Teste Loss: 80.55888879299164
18 Train acc: 83.214 | Train Loss: 195.70126208662987 || Teste acc: 79.98 | Teste Loss: 58.98774591088295
19 Train acc: 83.082 | Train Loss: 194.7027059495449 || Teste acc: 78.43 | Teste Loss: 64.92266508936882
20 Train acc: 83.214 | Train Loss: 193.7735057771206 || Teste acc: 76.26 | Teste Loss: 74.41602966189384
21 Train acc: 83.454 | Train Loss: 189.06912031769753 || Teste acc: 79.47 | Teste Loss: 63.43926838040352
22 Train acc: 83.616 | Train Loss: 188.23241782188416 || Teste acc: 81.01 | Teste Loss: 56.04633519053459
23 Train acc: 83.714 | Train Loss: 187.71897569298744 || Teste acc: 81.47 | Teste Loss: 54.14958435297012
24 Train acc: 83.928 | Train Loss: 185.16153571009636 || Teste acc: 79.05 | Teste Loss: 60.565556824207306
25 Train acc: 84.318 | Train Loss: 181.38220950961113 || Teste acc: 79.53 | Teste Loss: 59.94230282306671
26 Train acc: 84.424 | Train Loss: 180.27150788903236 || Teste acc: 75.9 | Teste Loss: 72.21195152401924
27 Train acc: 84.578 | Train Loss: 179.06256112456322 || Teste acc: 82.78 | Teste Loss: 51.18036639690399
28 Train acc: 84.714 | Train Loss: 176.11905466020107 || Teste acc: 82.16 | Teste Loss: 53.41993373632431
29 Train acc: 84.84 | Train Loss: 175.34784418344498 || Teste acc: 77.47 | Teste Loss: 68.03705716133118
