
0 Train acc: 38.844 | Train Loss: 641.1047731637955 || Teste acc: 41.32 | Teste Loss: 170.51886677742004
1 Train acc: 58.412 | Train Loss: 450.10897612571716 || Teste acc: 60.67 | Teste Loss: 113.48660135269165
2 Train acc: 68.26 | Train Loss: 350.0390056371689 || Teste acc: 67.39 | Teste Loss: 95.52131623029709
3 Train acc: 73.694 | Train Loss: 298.27150785923004 || Teste acc: 65.36 | Teste Loss: 110.85541874170303
4 Train acc: 76.018 | Train Loss: 272.7958852648735 || Teste acc: 63.08 | Teste Loss: 111.42571580410004
5 Train acc: 77.578 | Train Loss: 257.9858011007309 || Teste acc: 65.35 | Teste Loss: 115.67961663007736
6 Train acc: 78.848 | Train Loss: 243.69931954145432 || Teste acc: 74.77 | Teste Loss: 75.50077396631241
7 Train acc: 79.224 | Train Loss: 237.23506432771683 || Teste acc: 71.66 | Teste Loss: 87.26828515529633
8 Train acc: 80.118 | Train Loss: 230.38500797748566 || Teste acc: 58.91 | Teste Loss: 145.30824834108353
9 Train acc: 80.246 | Train Loss: 224.80149069428444 || Teste acc: 66.73 | Teste Loss: 104.90145456790924
10 Train acc: 80.704 | Train Loss: 221.6487448811531 || Teste acc: 74.74 | Teste Loss: 76.85963556170464
11 Train acc: 81.452 | Train Loss: 215.46589997410774 || Teste acc: 77.53 | Teste Loss: 66.50242003798485
12 Train acc: 81.596 | Train Loss: 210.35970628261566 || Teste acc: 71.28 | Teste Loss: 92.19534051418304
13 Train acc: 81.882 | Train Loss: 208.556128770113 || Teste acc: 70.28 | Teste Loss: 92.041563808918
14 Train acc: 82.018 | Train Loss: 206.50639244914055 || Teste acc: 76.91 | Teste Loss: 68.98928141593933
15 Train acc: 82.42 | Train Loss: 201.46444901823997 || Teste acc: 75.06 | Teste Loss: 75.3435411453247
16 Train acc: 82.492 | Train Loss: 200.83487790822983 || Teste acc: 73.73 | Teste Loss: 84.60351777076721
17 Train acc: 82.946 | Train Loss: 198.1221705675125 || Teste acc: 75.86 | Teste Loss: 74.83437889814377
18 Train acc: 83.278 | Train Loss: 194.29595029354095 || Teste acc: 76.04 | Teste Loss: 72.58282309770584
19 Train acc: 83.186 | Train Loss: 193.69335448741913 || Teste acc: 73.1 | Teste Loss: 84.1409592628479
20 Train acc: 83.494 | Train Loss: 190.7119441330433 || Teste acc: 76.6 | Teste Loss: 67.40982180833817
21 Train acc: 83.44 | Train Loss: 190.3068630695343 || Teste acc: 73.58 | Teste Loss: 86.5721840262413
22 Train acc: 83.69 | Train Loss: 188.9675841331482 || Teste acc: 76.9 | Teste Loss: 71.2731594145298
23 Train acc: 83.806 | Train Loss: 185.87271849811077 || Teste acc: 78.34 | Teste Loss: 62.76335030794144
24 Train acc: 83.994 | Train Loss: 182.99851235747337 || Teste acc: 78.35 | Teste Loss: 63.67680221796036
25 Train acc: 84.322 | Train Loss: 181.65393671393394 || Teste acc: 80.93 | Teste Loss: 56.513591945171356
26 Train acc: 84.504 | Train Loss: 178.28334668278694 || Teste acc: 72.06 | Teste Loss: 91.92212641239166
27 Train acc: 84.522 | Train Loss: 176.46935659646988 || Teste acc: 75.48 | Teste Loss: 73.40599256753922
28 Train acc: 84.814 | Train Loss: 175.88234785199165 || Teste acc: 76.27 | Teste Loss: 75.7516762316227
29 Train acc: 85.148 | Train Loss: 170.6557475924492 || Teste acc: 82.01 | Teste Loss: 54.646176636219025
30 Train acc: 84.84 | Train Loss: 174.4671399742365 || Teste acc: 77.62 | Teste Loss: 66.94060030579567
31 Train acc: 85.536 | Train Loss: 167.61475226283073 || Teste acc: 80.14 | Teste Loss: 58.61540326476097
32 Train acc: 85.848 | Train Loss: 167.28575114905834 || Teste acc: 82.63 | Teste Loss: 52.21492666006088
33 Train acc: 85.63 | Train Loss: 164.7535474151373 || Teste acc: 80.52 | Teste Loss: 58.195877343416214
34 Train acc: 85.738 | Train Loss: 165.75200973451138 || Teste acc: 82.63 | Teste Loss: 50.94805780053139
35 Train acc: 85.868 | Train Loss: 162.3020555973053 || Teste acc: 76.32 | Teste Loss: 70.47109946608543
36 Train acc: 86.166 | Train Loss: 162.28930635750294 || Teste acc: 81.64 | Teste Loss: 54.399982929229736
37 Train acc: 86.134 | Train Loss: 160.02787324786186 || Teste acc: 83.47 | Teste Loss: 50.13654962182045
38 Train acc: 86.716 | Train Loss: 155.05627976357937 || Teste acc: 80.54 | Teste Loss: 58.335112541913986
39 Train acc: 86.59 | Train Loss: 153.6123253107071 || Teste acc: 84.5 | Teste Loss: 45.51240600645542
40 Train acc: 87.248 | Train Loss: 149.92185333371162 || Teste acc: 78.14 | Teste Loss: 67.16496995091438
41 Train acc: 87.064 | Train Loss: 150.12637965381145 || Teste acc: 79.98 | Teste Loss: 63.535556733608246
42 Train acc: 87.282 | Train Loss: 148.8470866382122 || Teste acc: 81.69 | Teste Loss: 54.36386555433273
43 Train acc: 87.55 | Train Loss: 144.26790764927864 || Teste acc: 83.5 | Teste Loss: 48.91863313317299
44 Train acc: 87.864 | Train Loss: 141.11933059990406 || Teste acc: 79.83 | Teste Loss: 64.62731203436852
45 Train acc: 87.714 | Train Loss: 142.53163219988346 || Teste acc: 85.4 | Teste Loss: 43.18909801542759
46 Train acc: 88.362 | Train Loss: 136.31035833060741 || Teste acc: 79.55 | Teste Loss: 63.24066114425659
47 Train acc: 88.208 | Train Loss: 137.1253531575203 || Teste acc: 82.31 | Teste Loss: 53.009421825408936
48 Train acc: 88.46 | Train Loss: 133.9608559757471 || Teste acc: 82.74 | Teste Loss: 52.122469037771225
49 Train acc: 88.71 | Train Loss: 131.47539061307907 || Teste acc: 84.32 | Teste Loss: 47.02776736021042
50 Train acc: 88.758 | Train Loss: 129.98509871959686 || Teste acc: 85.57 | Teste Loss: 42.69206461310387
51 Train acc: 89.172 | Train Loss: 125.57732991874218 || Teste acc: 82.29 | Teste Loss: 53.89089298248291
52 Train acc: 89.296 | Train Loss: 125.70382280647755 || Teste acc: 82.05 | Teste Loss: 55.10830399394035
53 Train acc: 89.62 | Train Loss: 120.21652340888977 || Teste acc: 84.33 | Teste Loss: 46.562377244234085
54 Train acc: 89.76 | Train Loss: 118.3771679699421 || Teste acc: 83.49 | Teste Loss: 49.854523316025734
55 Train acc: 90.04 | Train Loss: 114.60811856389046 || Teste acc: 86.71 | Teste Loss: 40.47755815088749
56 Train acc: 90.288 | Train Loss: 111.31230267882347 || Teste acc: 83.86 | Teste Loss: 47.886346846818924
57 Train acc: 90.604 | Train Loss: 110.23231218755245 || Teste acc: 85.14 | Teste Loss: 44.938436314463615
58 Train acc: 90.696 | Train Loss: 108.39526525884867 || Teste acc: 86.71 | Teste Loss: 40.20775343477726
59 Train acc: 91.046 | Train Loss: 104.39088282734156 || Teste acc: 85.93 | Teste Loss: 42.151318818330765
60 Train acc: 91.2 | Train Loss: 101.01591590046883 || Teste acc: 85.87 | Teste Loss: 42.0590842962265
61 Train acc: 91.746 | Train Loss: 97.60133747011423 || Teste acc: 86.54 | Teste Loss: 40.60697440803051
62 Train acc: 91.906 | Train Loss: 94.03777300566435 || Teste acc: 85.94 | Teste Loss: 43.42060875892639
63 Train acc: 92.298 | Train Loss: 90.91206550598145 || Teste acc: 88.02 | Teste Loss: 36.20990338921547
64 Train acc: 92.464 | Train Loss: 88.10144382715225 || Teste acc: 86.36 | Teste Loss: 42.15893632173538
65 Train acc: 92.464 | Train Loss: 85.89679677784443 || Teste acc: 87.78 | Teste Loss: 37.87867684662342
66 Train acc: 93.022 | Train Loss: 80.8377007395029 || Teste acc: 89.22 | Teste Loss: 32.94396190345287
67 Train acc: 93.112 | Train Loss: 81.14139275997877 || Teste acc: 87.45 | Teste Loss: 37.801175147295
68 Train acc: 93.64 | Train Loss: 73.89484415948391 || Teste acc: 87.58 | Teste Loss: 38.4497602134943
69 Train acc: 93.892 | Train Loss: 71.54682064056396 || Teste acc: 90.88 | Teste Loss: 27.916287779808044
70 Train acc: 94.218 | Train Loss: 68.483990393579 || Teste acc: 91.06 | Teste Loss: 27.72664685547352
71 Train acc: 94.384 | Train Loss: 64.24574532359838 || Teste acc: 87.75 | Teste Loss: 39.929866805672646
72 Train acc: 94.898 | Train Loss: 60.78108870610595 || Teste acc: 88.45 | Teste Loss: 35.169601276516914
73 Train acc: 95.126 | Train Loss: 56.98063117265701 || Teste acc: 89.5 | Teste Loss: 33.14341112971306
74 Train acc: 95.5 | Train Loss: 53.50891247391701 || Teste acc: 90.18 | Teste Loss: 30.235094130039215
75 Train acc: 95.866 | Train Loss: 49.3131650313735 || Teste acc: 91.9 | Teste Loss: 26.02663491666317
76 Train acc: 96.106 | Train Loss: 46.86610793322325 || Teste acc: 91.6 | Teste Loss: 26.448177732527256
77 Train acc: 96.408 | Train Loss: 43.119004771113396 || Teste acc: 91.25 | Teste Loss: 27.011714480817318
78 Train acc: 96.836 | Train Loss: 38.34521425515413 || Teste acc: 91.89 | Teste Loss: 25.470668271183968
79 Train acc: 97.15 | Train Loss: 34.4533910471946 || Teste acc: 91.67 | Teste Loss: 26.29672534018755
80 Train acc: 97.506 | Train Loss: 30.470713686197996 || Teste acc: 92.6 | Teste Loss: 24.47349952161312
81 Train acc: 97.818 | Train Loss: 26.951287765987217 || Teste acc: 92.44 | Teste Loss: 25.17121320590377
82 Train acc: 98.094 | Train Loss: 24.18223601859063 || Teste acc: 92.91 | Teste Loss: 23.9704921990633
83 Train acc: 98.368 | Train Loss: 20.61996869277209 || Teste acc: 92.69 | Teste Loss: 24.367964208126068
84 Train acc: 98.662 | Train Loss: 17.067826659884304 || Teste acc: 93.18 | Teste Loss: 24.642427496612072
85 Train acc: 98.934 | Train Loss: 13.813499172218144 || Teste acc: 93.55 | Teste Loss: 22.523174829781055
86 Train acc: 99.252 | Train Loss: 10.651717248838395 || Teste acc: 93.87 | Teste Loss: 21.164559915661812
87 Train acc: 99.418 | Train Loss: 8.890881037339568 || Teste acc: 93.75 | Teste Loss: 21.76173075288534
88 Train acc: 99.546 | Train Loss: 7.187207659240812 || Teste acc: 94.33 | Teste Loss: 19.96483163535595
89 Train acc: 99.638 | Train Loss: 6.106452168431133 || Teste acc: 94.6 | Teste Loss: 19.677060863003135
90 Train acc: 99.77 | Train Loss: 4.503827249165624 || Teste acc: 94.23 | Teste Loss: 20.529856093227863
91 Train acc: 99.834 | Train Loss: 3.84095177706331 || Teste acc: 94.48 | Teste Loss: 20.004138603806496
92 Train acc: 99.858 | Train Loss: 3.5701771113090217 || Teste acc: 94.57 | Teste Loss: 19.979146383702755
93 Train acc: 99.884 | Train Loss: 3.1991981621831656 || Teste acc: 94.64 | Teste Loss: 19.818897189572453
94 Train acc: 99.906 | Train Loss: 2.8037429791875184 || Teste acc: 94.73 | Teste Loss: 19.28883883729577
95 Train acc: 99.922 | Train Loss: 2.789680607849732 || Teste acc: 94.83 | Teste Loss: 19.174140490591526
96 Train acc: 99.948 | Train Loss: 2.533322961302474 || Teste acc: 94.82 | Teste Loss: 18.974692951887846
