
0 Train acc: 38.748 | Train Loss: 640.0854314565659 || Teste acc: 43.85 | Teste Loss: 156.16255831718445
1 Train acc: 57.56 | Train Loss: 459.38790625333786 || Teste acc: 49.83 | Teste Loss: 156.17675638198853
2 Train acc: 66.034 | Train Loss: 374.87403374910355 || Teste acc: 54.35 | Teste Loss: 135.7646368741989
3 Train acc: 71.478 | Train Loss: 319.10427463054657 || Teste acc: 64.25 | Teste Loss: 110.72376674413681
4 Train acc: 74.902 | Train Loss: 285.95304894447327 || Teste acc: 68.52 | Teste Loss: 96.83482056856155
5 Train acc: 77.098 | Train Loss: 260.998922675848 || Teste acc: 67.87 | Teste Loss: 96.03483265638351
6 Train acc: 78.116 | Train Loss: 248.99671411514282 || Teste acc: 74.36 | Teste Loss: 76.56014442443848
7 Train acc: 79.168 | Train Loss: 238.99736428260803 || Teste acc: 75.38 | Teste Loss: 74.15007185935974
8 Train acc: 79.766 | Train Loss: 228.65442952513695 || Teste acc: 67.15 | Teste Loss: 109.89998823404312
9 Train acc: 80.368 | Train Loss: 226.10219740867615 || Teste acc: 78.57 | Teste Loss: 63.83143237233162
10 Train acc: 81.088 | Train Loss: 216.5490534901619 || Teste acc: 76.97 | Teste Loss: 68.32434302568436
11 Train acc: 81.116 | Train Loss: 218.53595140576363 || Teste acc: 72.8 | Teste Loss: 82.00618544220924
12 Train acc: 81.354 | Train Loss: 213.96661439538002 || Teste acc: 72.91 | Teste Loss: 80.95176410675049
13 Train acc: 82.078 | Train Loss: 206.66982623934746 || Teste acc: 70.99 | Teste Loss: 85.76084244251251
14 Train acc: 81.966 | Train Loss: 207.286211758852 || Teste acc: 72.15 | Teste Loss: 84.58344686031342
15 Train acc: 82.536 | Train Loss: 202.08148071169853 || Teste acc: 69.44 | Teste Loss: 103.90618669986725
16 Train acc: 82.362 | Train Loss: 202.71893978118896 || Teste acc: 77.07 | Teste Loss: 67.64667335152626
17 Train acc: 82.8 | Train Loss: 198.51824101805687 || Teste acc: 74.55 | Teste Loss: 77.79350805282593
18 Train acc: 82.77 | Train Loss: 197.26600727438927 || Teste acc: 72.9 | Teste Loss: 79.89800629019737
19 Train acc: 83.212 | Train Loss: 192.75561726093292 || Teste acc: 77.5 | Teste Loss: 66.25037893652916
