
0 Train acc: 38.952 | Train Loss: 638.0118955373764 || Teste acc: 51.25 | Teste Loss: 134.6256650686264
1 Train acc: 58.98 | Train Loss: 445.9343742132187 || Teste acc: 57.76 | Teste Loss: 119.4744279384613
2 Train acc: 68.046 | Train Loss: 352.49534380435944 || Teste acc: 61.69 | Teste Loss: 114.18054950237274
3 Train acc: 73.55 | Train Loss: 298.29687932133675 || Teste acc: 69.76 | Teste Loss: 86.2170352935791
4 Train acc: 76.026 | Train Loss: 273.86847135424614 || Teste acc: 71.85 | Teste Loss: 80.45399326086044
5 Train acc: 77.556 | Train Loss: 257.02346581220627 || Teste acc: 71.13 | Teste Loss: 92.83151227235794
6 Train acc: 78.696 | Train Loss: 244.52668637037277 || Teste acc: 74.87 | Teste Loss: 73.08826127648354
7 Train acc: 79.578 | Train Loss: 234.91493770480156 || Teste acc: 74.17 | Teste Loss: 77.54132217168808
8 Train acc: 79.954 | Train Loss: 227.0686156153679 || Teste acc: 72.39 | Teste Loss: 81.76165866851807
9 Train acc: 80.346 | Train Loss: 224.41371735930443 || Teste acc: 77.04 | Teste Loss: 71.79089698195457
10 Train acc: 81.482 | Train Loss: 213.6235491335392 || Teste acc: 73.57 | Teste Loss: 82.48494547605515
11 Train acc: 81.626 | Train Loss: 212.70572578907013 || Teste acc: 63.7 | Teste Loss: 119.65122902393341
12 Train acc: 81.596 | Train Loss: 211.60145416855812 || Teste acc: 75.59 | Teste Loss: 72.0105704665184
13 Train acc: 81.782 | Train Loss: 209.01414161920547 || Teste acc: 75.74 | Teste Loss: 74.4430581331253
14 Train acc: 82.122 | Train Loss: 204.74091637134552 || Teste acc: 77.51 | Teste Loss: 67.06116151809692
15 Train acc: 82.786 | Train Loss: 200.7225717306137 || Teste acc: 79.1 | Teste Loss: 63.07536196708679
16 Train acc: 82.69 | Train Loss: 199.06635296344757 || Teste acc: 73.34 | Teste Loss: 79.29890102148056
17 Train acc: 82.892 | Train Loss: 196.5637920498848 || Teste acc: 79.98 | Teste Loss: 59.67261752486229
18 Train acc: 83.28 | Train Loss: 192.48313954472542 || Teste acc: 79.89 | Teste Loss: 59.38604661822319
19 Train acc: 83.18 | Train Loss: 195.22566935420036 || Teste acc: 77.06 | Teste Loss: 67.87033969163895
20 Train acc: 83.334 | Train Loss: 191.43176320195198 || Teste acc: 76.95 | Teste Loss: 76.23061379790306
21 Train acc: 83.726 | Train Loss: 187.9569551050663 || Teste acc: 79.39 | Teste Loss: 60.27302658557892
22 Train acc: 84.004 | Train Loss: 184.12746526300907 || Teste acc: 77.37 | Teste Loss: 68.33680501580238
23 Train acc: 83.938 | Train Loss: 183.92757053673267 || Teste acc: 73.02 | Teste Loss: 82.17667329311371
24 Train acc: 84.342 | Train Loss: 181.19377040863037 || Teste acc: 75.13 | Teste Loss: 79.03536748886108
25 Train acc: 84.398 | Train Loss: 180.09005653858185 || Teste acc: 80.66 | Teste Loss: 56.31279581785202
26 Train acc: 84.432 | Train Loss: 179.87416324019432 || Teste acc: 80.13 | Teste Loss: 59.377884060144424
27 Train acc: 84.88 | Train Loss: 175.8779348731041 || Teste acc: 78.51 | Teste Loss: 66.36531004309654
28 Train acc: 84.938 | Train Loss: 173.79618203639984 || Teste acc: 75.16 | Teste Loss: 81.61432164907455
29 Train acc: 85.13 | Train Loss: 171.9348165243864 || Teste acc: 79.81 | Teste Loss: 59.864494025707245
30 Train acc: 85.04 | Train Loss: 173.13723629713058 || Teste acc: 81.21 | Teste Loss: 57.32047539949417
31 Train acc: 85.342 | Train Loss: 168.62055398523808 || Teste acc: 79.62 | Teste Loss: 60.03678756952286
32 Train acc: 85.516 | Train Loss: 167.37581524252892 || Teste acc: 78.53 | Teste Loss: 65.31073918938637
33 Train acc: 85.578 | Train Loss: 165.55775560438633 || Teste acc: 77.9 | Teste Loss: 66.70392149686813
34 Train acc: 86.006 | Train Loss: 163.134103551507 || Teste acc: 69.3 | Teste Loss: 98.19685572385788
35 Train acc: 86.134 | Train Loss: 160.53219529986382 || Teste acc: 77.19 | Teste Loss: 76.49979990720749
36 Train acc: 86.07 | Train Loss: 160.85864567756653 || Teste acc: 79.68 | Teste Loss: 59.234552443027496
37 Train acc: 86.508 | Train Loss: 156.53967194259167 || Teste acc: 82.12 | Teste Loss: 52.224683463573456
38 Train acc: 86.756 | Train Loss: 153.12068882584572 || Teste acc: 78.75 | Teste Loss: 62.65882930159569
39 Train acc: 86.684 | Train Loss: 154.54412560164928 || Teste acc: 78.94 | Teste Loss: 62.19943130016327
40 Train acc: 86.764 | Train Loss: 152.1617593318224 || Teste acc: 85.66 | Teste Loss: 42.93587011098862
41 Train acc: 87.242 | Train Loss: 148.02294379472733 || Teste acc: 80.05 | Teste Loss: 60.40664857625961
42 Train acc: 87.42 | Train Loss: 145.40436327457428 || Teste acc: 83.06 | Teste Loss: 50.45597964525223
43 Train acc: 87.648 | Train Loss: 144.21037232875824 || Teste acc: 80.44 | Teste Loss: 62.0114748775959
44 Train acc: 87.692 | Train Loss: 141.32651340961456 || Teste acc: 82.06 | Teste Loss: 54.58758682012558
45 Train acc: 87.948 | Train Loss: 140.24699127674103 || Teste acc: 78.84 | Teste Loss: 67.02078518271446
46 Train acc: 88.034 | Train Loss: 138.71935933828354 || Teste acc: 84.04 | Teste Loss: 47.32977920770645
47 Train acc: 88.324 | Train Loss: 135.0829722881317 || Teste acc: 75.3 | Teste Loss: 87.57891482114792
48 Train acc: 88.522 | Train Loss: 132.17877309024334 || Teste acc: 84.64 | Teste Loss: 46.05579324066639
49 Train acc: 88.776 | Train Loss: 130.67304460704327 || Teste acc: 85.77 | Teste Loss: 42.15281584858894
