2023-03-08 03:23:42,865 INFO    MainThread:25586 [wandb_setup.py:_flush():68] Configure stats pid to 25586
2023-03-08 03:23:42,866 INFO    MainThread:25586 [wandb_setup.py:_flush():68] Loading settings from /home/luigi-doria/.config/wandb/settings
2023-03-08 03:23:42,866 INFO    MainThread:25586 [wandb_setup.py:_flush():68] Loading settings from /home/luigi-doria/IC/wandb/settings
2023-03-08 03:23:42,866 INFO    MainThread:25586 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-03-08 03:23:42,866 INFO    MainThread:25586 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-08 03:23:42,866 INFO    MainThread:25586 [wandb_init.py:_log_setup():478] Logging user logs to /home/luigi-doria/IC/wandb/run-20230308_032342-o0wj3sb9/logs/debug.log
2023-03-08 03:23:42,866 INFO    MainThread:25586 [wandb_init.py:_log_setup():479] Logging internal logs to /home/luigi-doria/IC/wandb/run-20230308_032342-o0wj3sb9/logs/debug-internal.log
2023-03-08 03:23:42,866 INFO    MainThread:25586 [wandb_init.py:_jupyter_setup():428] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f01194152a0>
2023-03-08 03:23:42,866 INFO    MainThread:25586 [wandb_init.py:init():518] calling init triggers
2023-03-08 03:23:42,866 INFO    MainThread:25586 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {'architecture': 'Resnet18 Hydra', 'N_cabeças': 13, 'Data_set': 'Cifar10', 'epocas': 120}
2023-03-08 03:23:42,866 INFO    MainThread:25586 [wandb_init.py:init():571] starting backend
2023-03-08 03:23:42,866 INFO    MainThread:25586 [wandb_init.py:init():575] setting up manager
2023-03-08 03:23:42,867 INFO    MainThread:25586 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-08 03:23:42,867 INFO    MainThread:25586 [wandb_init.py:init():582] backend started and connected
2023-03-08 03:23:42,872 INFO    MainThread:25586 [wandb_run.py:_label_probe_notebook():1202] probe notebook
2023-03-08 03:23:42,872 INFO    MainThread:25586 [wandb_run.py:_label_probe_notebook():1212] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-03-08 03:23:42,872 INFO    MainThread:25586 [wandb_init.py:init():670] updated telemetry
2023-03-08 03:23:42,873 INFO    MainThread:25586 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2023-03-08 03:23:43,321 INFO    MainThread:25586 [wandb_run.py:_on_init():2121] communicating current version
2023-03-08 03:23:43,366 INFO    MainThread:25586 [wandb_run.py:_on_init():2125] got version response upgrade_message: "wandb version 0.13.11 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-03-08 03:23:43,366 INFO    MainThread:25586 [wandb_init.py:init():758] starting run threads in backend
2023-03-08 03:23:46,620 INFO    MainThread:25586 [wandb_run.py:_console_start():2101] atexit reg
2023-03-08 03:23:46,620 INFO    MainThread:25586 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2023-03-08 03:23:46,620 INFO    MainThread:25586 [wandb_run.py:_redirect():2024] Wrapping output streams.
2023-03-08 03:23:46,620 INFO    MainThread:25586 [wandb_run.py:_redirect():2046] Redirects installed.
2023-03-08 03:23:46,621 INFO    MainThread:25586 [wandb_init.py:init():798] run started, returning control to user process
2023-03-08 05:05:11,309 INFO    MainThread:25586 [wandb_run.py:_finish():1844] finishing run luigidoria/Hydra/o0wj3sb9
2023-03-08 05:05:11,309 INFO    MainThread:25586 [jupyter.py:save_history():449] not saving jupyter history
2023-03-08 05:05:11,309 INFO    MainThread:25586 [jupyter.py:save_ipynb():379] not saving jupyter notebook
2023-03-08 05:05:11,309 INFO    MainThread:25586 [wandb_init.py:_jupyter_teardown():410] cleaning up jupyter logic
2023-03-08 05:05:11,309 INFO    MainThread:25586 [wandb_run.py:_atexit_cleanup():2070] got exitcode: 0
2023-03-08 05:05:11,309 INFO    MainThread:25586 [wandb_run.py:_restore():2053] restore
2023-03-08 05:05:11,309 INFO    MainThread:25586 [wandb_run.py:_restore():2059] restore done
2023-03-08 05:05:16,278 INFO    MainThread:25586 [wandb_run.py:_footer_history_summary_info():3427] rendering history
2023-03-08 05:05:16,280 INFO    MainThread:25586 [wandb_run.py:_footer_history_summary_info():3459] rendering summary
2023-03-08 05:05:16,291 INFO    MainThread:25586 [wandb_run.py:_footer_sync_info():3383] logging synced files
