
0 Train acc: 38.536 | Train Loss: 637.5486056804657 || Teste acc: 45.39 | Teste Loss: 156.82518589496613
1 Train acc: 57.736 | Train Loss: 458.1999029517174 || Teste acc: 61.24 | Teste Loss: 107.88224118947983
2 Train acc: 67.46 | Train Loss: 361.29237937927246 || Teste acc: 67.59 | Teste Loss: 95.51306754350662
3 Train acc: 72.756 | Train Loss: 306.2565799355507 || Teste acc: 68.64 | Teste Loss: 91.80859440565109
4 Train acc: 75.804 | Train Loss: 275.0934498310089 || Teste acc: 70.85 | Teste Loss: 89.77415698766708
5 Train acc: 77.116 | Train Loss: 260.54463189840317 || Teste acc: 76.29 | Teste Loss: 69.71704548597336
6 Train acc: 78.396 | Train Loss: 246.73694348335266 || Teste acc: 73.64 | Teste Loss: 78.16423726081848
7 Train acc: 79.306 | Train Loss: 237.4727087020874 || Teste acc: 69.18 | Teste Loss: 90.17730855941772
8 Train acc: 79.884 | Train Loss: 231.8626047372818 || Teste acc: 75.23 | Teste Loss: 72.2512276172638
9 Train acc: 80.28 | Train Loss: 224.5022003352642 || Teste acc: 77.45 | Teste Loss: 66.10610762238503
10 Train acc: 81.01 | Train Loss: 217.44615769386292 || Teste acc: 66.8 | Teste Loss: 103.88934749364853
11 Train acc: 81.608 | Train Loss: 213.46712961792946 || Teste acc: 79.95 | Teste Loss: 58.58537703752518
12 Train acc: 81.96 | Train Loss: 209.0568456351757 || Teste acc: 73.57 | Teste Loss: 77.95217826962471
13 Train acc: 81.734 | Train Loss: 210.00221729278564 || Teste acc: 78.55 | Teste Loss: 63.91962710022926
14 Train acc: 82.042 | Train Loss: 206.7431882917881 || Teste acc: 77.85 | Teste Loss: 67.24143499135971
15 Train acc: 82.258 | Train Loss: 203.39840361475945 || Teste acc: 77.14 | Teste Loss: 67.98487424850464
16 Train acc: 82.298 | Train Loss: 201.87203457951546 || Teste acc: 75.62 | Teste Loss: 76.03629559278488
17 Train acc: 82.84 | Train Loss: 196.7053556740284 || Teste acc: 78.61 | Teste Loss: 65.25046199560165
18 Train acc: 82.914 | Train Loss: 196.74497482180595 || Teste acc: 80.67 | Teste Loss: 56.635775834321976
19 Train acc: 83.39 | Train Loss: 192.732739508152 || Teste acc: 76.39 | Teste Loss: 72.54222398996353
20 Train acc: 83.228 | Train Loss: 194.50903528928757 || Teste acc: 76.31 | Teste Loss: 71.53987911343575
21 Train acc: 83.732 | Train Loss: 188.67398527264595 || Teste acc: 71.35 | Teste Loss: 92.92984807491302
22 Train acc: 83.708 | Train Loss: 188.6116327792406 || Teste acc: 75.16 | Teste Loss: 71.47258004546165
23 Train acc: 83.91 | Train Loss: 185.80440713465214 || Teste acc: 78.96 | Teste Loss: 63.7907994389534
24 Train acc: 84.046 | Train Loss: 183.24279361963272 || Teste acc: 80.36 | Teste Loss: 54.872751355171204
25 Train acc: 84.254 | Train Loss: 181.6027637720108 || Teste acc: 82.82 | Teste Loss: 51.830850809812546
26 Train acc: 84.322 | Train Loss: 180.91257166862488 || Teste acc: 74.67 | Teste Loss: 74.42317622900009
27 Train acc: 84.688 | Train Loss: 177.91494116187096 || Teste acc: 78.7 | Teste Loss: 63.54225209355354
28 Train acc: 84.948 | Train Loss: 173.29440534114838 || Teste acc: 80.95 | Teste Loss: 56.63519498705864
29 Train acc: 85.324 | Train Loss: 170.43659329414368 || Teste acc: 79.59 | Teste Loss: 60.60441663861275
30 Train acc: 85.19 | Train Loss: 172.59738832712173 || Teste acc: 78.06 | Teste Loss: 66.08941560983658
31 Train acc: 85.12 | Train Loss: 172.75534091889858 || Teste acc: 82.66 | Teste Loss: 50.614765018224716
32 Train acc: 85.69 | Train Loss: 167.12382355332375 || Teste acc: 73.05 | Teste Loss: 81.94717639684677
33 Train acc: 85.634 | Train Loss: 165.60315164923668 || Teste acc: 83.27 | Teste Loss: 48.33080244064331
34 Train acc: 85.732 | Train Loss: 164.24032506346703 || Teste acc: 76.87 | Teste Loss: 70.96543806791306
35 Train acc: 86.01 | Train Loss: 161.93168456852436 || Teste acc: 79.35 | Teste Loss: 63.40016886591911
36 Train acc: 86.17 | Train Loss: 159.04042384028435 || Teste acc: 83.71 | Teste Loss: 48.5139676630497
37 Train acc: 86.378 | Train Loss: 158.11204604804516 || Teste acc: 84.46 | Teste Loss: 46.171763613820076
38 Train acc: 86.574 | Train Loss: 155.3972125351429 || Teste acc: 76.15 | Teste Loss: 72.90508851408958
39 Train acc: 86.694 | Train Loss: 154.95499262213707 || Teste acc: 83.64 | Teste Loss: 49.648082226514816
40 Train acc: 86.94 | Train Loss: 151.18919309973717 || Teste acc: 83.25 | Teste Loss: 50.900600254535675
41 Train acc: 87.168 | Train Loss: 148.413525223732 || Teste acc: 81.84 | Teste Loss: 55.83628550171852
42 Train acc: 87.434 | Train Loss: 146.41137358546257 || Teste acc: 78.14 | Teste Loss: 66.61572575569153
43 Train acc: 87.61 | Train Loss: 144.2836889922619 || Teste acc: 83.18 | Teste Loss: 49.28867927193642
