
0 Train acc: 39.748 | Train Loss: 627.9428263902664 || Teste acc: 51.17 | Teste Loss: 135.5915207862854
1 Train acc: 59.162 | Train Loss: 442.7638461589813 || Teste acc: 60.63 | Teste Loss: 108.70652627944946
2 Train acc: 68.232 | Train Loss: 350.4869267940521 || Teste acc: 66.68 | Teste Loss: 98.74986243247986
3 Train acc: 73.474 | Train Loss: 298.22720712423325 || Teste acc: 63.14 | Teste Loss: 113.54900789260864
4 Train acc: 76.194 | Train Loss: 270.484456717968 || Teste acc: 68.05 | Teste Loss: 100.90158659219742
5 Train acc: 77.68 | Train Loss: 252.44887042045593 || Teste acc: 63.19 | Teste Loss: 107.20875406265259
6 Train acc: 78.584 | Train Loss: 244.85574874281883 || Teste acc: 69.96 | Teste Loss: 86.83505570888519
7 Train acc: 79.554 | Train Loss: 233.02865666151047 || Teste acc: 70.44 | Teste Loss: 93.85373067855835
8 Train acc: 80.03 | Train Loss: 228.89222633838654 || Teste acc: 72.07 | Teste Loss: 86.15854349732399
9 Train acc: 80.572 | Train Loss: 223.03734788298607 || Teste acc: 75.03 | Teste Loss: 76.23281556367874
10 Train acc: 81.202 | Train Loss: 216.26493790745735 || Teste acc: 76.97 | Teste Loss: 67.22326070070267
11 Train acc: 81.218 | Train Loss: 214.62290081381798 || Teste acc: 76.28 | Teste Loss: 70.08699971437454
12 Train acc: 81.966 | Train Loss: 209.78336063027382 || Teste acc: 77.72 | Teste Loss: 66.00935980677605
13 Train acc: 81.876 | Train Loss: 208.70973363518715 || Teste acc: 79.73 | Teste Loss: 59.753612488508224
14 Train acc: 82.15 | Train Loss: 204.1428868472576 || Teste acc: 69.47 | Teste Loss: 95.82835352420807
15 Train acc: 82.736 | Train Loss: 199.90057790279388 || Teste acc: 73.26 | Teste Loss: 78.69999951124191
16 Train acc: 82.866 | Train Loss: 196.83750638365746 || Teste acc: 75.86 | Teste Loss: 73.72687351703644
17 Train acc: 82.908 | Train Loss: 198.02325814962387 || Teste acc: 67.04 | Teste Loss: 106.12511056661606
18 Train acc: 83.166 | Train Loss: 194.3752597272396 || Teste acc: 77.46 | Teste Loss: 66.3831784427166
19 Train acc: 83.364 | Train Loss: 192.0754652619362 || Teste acc: 77.87 | Teste Loss: 65.10379976034164
20 Train acc: 83.642 | Train Loss: 190.40561550855637 || Teste acc: 77.9 | Teste Loss: 69.23112481832504
21 Train acc: 83.774 | Train Loss: 188.2426490187645 || Teste acc: 79.86 | Teste Loss: 60.441223591566086
22 Train acc: 83.908 | Train Loss: 185.20171305537224 || Teste acc: 69.74 | Teste Loss: 96.2849131822586
23 Train acc: 84.186 | Train Loss: 183.3146623969078 || Teste acc: 78.67 | Teste Loss: 63.326314866542816
24 Train acc: 84.258 | Train Loss: 180.36065435409546 || Teste acc: 72.37 | Teste Loss: 85.4425989985466
25 Train acc: 84.248 | Train Loss: 181.60346384346485 || Teste acc: 81.93 | Teste Loss: 54.27333006262779
26 Train acc: 84.434 | Train Loss: 178.10875621438026 || Teste acc: 72.68 | Teste Loss: 82.3799580335617
27 Train acc: 84.59 | Train Loss: 178.59791426360607 || Teste acc: 72.83 | Teste Loss: 86.99846363067627
